pitch_angle,yaw_angle
57.25,-0.5
57.25,-0.75
57.25,-0.75
57.25,-0.75
57.25,-0.75
57.25,-0.75
57.25,-0.75
57.25,-0.75
57.25,-0.75
57.25,-0.75
57.25,-0.75
57.25,-1
57.25,-1.25
57.25,-1.5
57.25,-1.75
57.25,-2.25
57.25,-2.5
57.25,-2.75
57.25,-2.75
57.25,-3
57.25,-3.5
57.25,-3.75
57.25,-4.25
57.25,-4.5
57.25,-4.75
57.25,-5
57.25,-5
57.25,-4.75
57.25,-4.5
57.25,-4.25
57.25,-3.75
57.25,-3.25
57.25,-2.75
57.25,-2.5
57.25,-2.25
57.25,-2.25
57.25,-2.5
57.25,-2.75
57.25,-3.25
57.25,-3.75
57.25,-4
57.25,-4.25
57.25,-4.75
57.25,-5
57.25,-5.25
57.25,-5.5
57.25,-5.75
57.25,-6
57.25,-6.25
57.25,-6.5
57.25,-6.75
57.25,-6.75
57,-6.75
56.75,-6.5
56.5,-6
55.5,-5.75
54,-5.25
51.75,-4.5
48.75,-4
44.75,-3.25
39.75,-2.25
33.75,-1.5
26.75,-0.25
18.75,1
10,2.75
1,5.25
0.5,5.5
1,5.5
2,5.75
2.25,5.75
1.25,6
0.75,6.25
0.25,6.5
0.25,6.75
0.25,7.25
0.5,7.75
0.5,8.25
0.5,8.25
0.5,8.25
0.5,8.25
0.5,8.25
0.5,8.25
0.5,8.25
