V,I_pitch,I_yaw
10.73,4.7,7.97
10.4,4.2,7.85
10.35,4.66,6.94
11.09,5.01,6.44
10.56,5.09,6.57
11.24,4.89,6.29
11.8,3.51,5.79
11.75,3.6,6.61
10.81,3.41,6.81
10.96,3.98,6.54
10.89,4.88,6.98
10.81,4.6,6.09
11.34,4.9,5.52
11.34,5.19,6.38
10.94,4.86,6.93
10.91,4.53,7.26
11.01,4.39,7.84
10,4.15,7.69
10.58,4.86,8.22
10.02,4.17,8.8
10.46,4.06,8.8
10.48,4.05,8.1
10.46,4.46,7.96
9.72,4.48,7.16
10.71,4.65,6.92
10.73,4.52,6.4
10.78,4.65,5.97
10.96,4.61,5.78
11.47,4.87,5.39
11.8,4.86,5.3
12.08,3.44,4.86
11.62,3.62,4.55
11.44,5.08,5.32
10.71,4.72,6
11.16,4.88,6.4
11.09,4.52,7.04
11.09,4.16,7.66
10.86,4.3,6.71
10.89,4.36,6.05
10.96,4.7,5.6
11.09,4.56,4.88
11.7,4.89,4.7
11.7,4.93,4.2
11.16,4.93,3.74
11.9,5.22,3.68
12.28,5.27,3.82
12.25,4.81,4.69
11.7,4.7,5.38
11.8,4.58,5.51
11.42,4.78,5.87
10.78,4.63,6.54
11.29,4.33,5.9
11.34,4.66,5.52
11.59,4.96,4.85
10.91,4.86,4.56
11.9,4.93,4.09
11.72,5.14,3.56
12.3,5.15,3.95
12.1,4.94,4.47
11.72,4.7,5.24
11.97,4.82,5.4
11.8,4.7,6.14
10.91,4.46,6.26
11.49,4.64,5.76
10.4,4.58,5.77
11.16,4.66,5.31
10.81,4.69,5.19
11.9,4.97,5.19
11.59,5.02,4.67
11.16,5.07,4.33
12.02,4.85,4.27
12.28,4.97,4.31
11.11,5.04,4.27
12.13,5.05,3.73
12.25,5.14,3.66
12.08,4.64,3.61
12.4,4.75,3.44
12.4,4.53,3.45
12.25,4.1,3.24
12.08,4,3.31
12.83,3.93,3.58
12.86,3.97,3.42
12.76,3.89,3.47
12.56,3.94,3.47
12.3,3.81,3.48
12.33,3.89,3.58
12.86,3.91,3.43
12.96,3.98,3.53
12.86,4.16,3.44
12.91,3.82,3.37
12.48,4.08,3.47
12.45,3.99,3.53
11.77,3.86,3.53
12.28,3.99,3.57
12.4,3.88,3.71
12.96,3.92,3.47
12.05,4.17,3.56
12.73,3.8,3.26
12.91,4.09,3.4
12.18,3.97,3.51
12.86,4.09,3.33
12.53,4.05,3.39
12.73,3.91,3.29
12.86,3.89,3.31
12.86,4.01,3.32
12.91,4.01,3.06
12.94,4.14,2.97
12.56,4.11,2.74
12.43,3.82,2.81
13.37,3.68,2.58
13.37,3.38,2.39
13.34,3.24,2.37
13.72,3.17,2.28
13.06,2.97,2.22
3.65,0,0
2.84,0,0
2.3,0,0
2.03,0,0
1.87,0,0
1.72,0,0
1.59,0,0
1.47,0,0
1.39,0,0
1.29,0,0
1.19,0,0
1.14,0,0
1.06,0,0
1.01,0,0
0.99,0,0
0.91,0,0
0.89,0,0
0.84,0,0
0.81,0,0
0.78,0,0
0.76,0,0
0.73,0,0
0.71,0,0
0.71,0,0
0.66,0,0
0.66,0,0
0.61,0,0
0.61,0,0
0.61,0,0
0.58,0,0
0.58,0,0
0.58,0,0
0.58,0,0
